,Username,Category,Followers,Followees,Posts,Level
2861,ivy_lc,fashion,82030.0,530,1596,Mid
2862,naomikisted,fashion,81896.0,4543,2483,Mid
2863,missestilos,fashion,81735.0,1315,3434,Mid
2864,wantgetrepeat,fashion,81698.0,1361,1386,Mid
2865,bazaarindonesia,fashion,81602.0,573,4234,Mid
2866,serrabellum,fashion,81490.0,113,459,Mid
2867,misstommy,fashion,81420.0,146,1891,Mid
2868,keltie,fashion,81379.0,943,3898,Mid
2869,courteink,fashion,81331.0,602,1558,Mid
2870,sandyalamode,fashion,81277.0,3798,4362,Mid
2871,jxhannamadeleine,fashion,81241.0,568,250,Mid
2872,bonjourclem,fashion,81137.0,5583,1802,Mid
2873,vikafalileeva,fashion,80993.0,328,833,Mid
2874,rosietheginger,fashion,80888.0,1158,1492,Mid
2875,miss_juliaaaaa_,fashion,80884.0,363,974,Mid
2876,soheatherblog,fashion,80844.0,1352,3288,Mid
2877,southcoaststyleoc,fashion,80786.0,810,2014,Mid
2878,priyasidhu,fashion,80722.0,943,726,Mid
2879,nahgarcez,fashion,80638.0,763,1359,Mid
2880,aliciagiron,fashion,80545.0,3985,1066,Mid
2881,firdawsnour,fashion,80468.0,555,786,Mid
2882,maquelx,fashion,80460.0,1931,456,Mid
2883,treehousethreadsblog,fashion,80383.0,523,746,Mid
2884,tashietinks,fashion,80324.0,539,821,Mid
2885,siobhanbell,fashion,80309.0,1012,937,Mid
2886,sandragierszewska10,fashion,80299.0,362,400,Mid
2887,reesenguyenn,fashion,80292.0,490,1298,Mid
2888,missmulberry,fashion,80212.0,331,1300,Mid
2889,stylesuzi,fashion,80147.0,1097,2508,Mid
2890,jackyxsecretx,fashion,80122.0,269,326,Mid
2891,miss__amina,fashion,80100.0,480,529,Mid
2892,morganalisonstewart,fashion,80035.0,336,854,Mid
2893,shes.larissa,fashion,80029.0,43,664,Mid
2894,taniamarie.c,fashion,80014.0,2116,523,Mid
2895,loraa._,fashion,79922.0,1279,490,Mid
2896,curves_curlsandclothes,fashion,79898.0,1749,2737,Mid
2897,julescecilia,fashion,79847.0,355,879,Mid
2898,kellyinthecity,fashion,79784.0,830,3969,Mid
2899,sarafjohansen,fashion,79731.0,903,994,Mid
2900,lux_mommy,fashion,79654.0,431,629,Mid
2901,nicolecarlsonxo,fashion,79653.0,861,1742,Mid
2902,woolyanna1,fashion,79581.0,654,1184,Mid
2903,zoelondondj,fashion,79521.0,976,5893,Mid
2904,rachellynjohnson,fashion,79410.0,417,641,Mid
2905,margheritadarienzo,fashion,79281.0,223,429,Mid
2906,bootsthefeline,fashion,79270.0,873,632,Mid
2907,chictalkch,fashion,79196.0,2424,3573,Mid
2908,crystalinmarie,fashion,79191.0,851,4799,Mid
2909,the.la.way,fashion,79152.0,1120,636,Mid
2910,stushigalstyle,fashion,79085.0,1128,2061,Mid
2911,sapphireofficial,fashion,79050.0,1011,2121,Mid
2912,franci_chelli,fashion,79044.0,1069,1177,Mid
2913,haniee.ahmadii,fashion,79041.0,493,451,Mid
2914,thefoxandshe,fashion,79032.0,597,4295,Mid
2915,nickimtv,fashion,79022.0,722,965,Mid
2916,hank_ge,fashion,79018.0,2877,833,Mid
2917,pursuingpretty,fashion,78914.0,760,1791,Mid
2918,monakhalifaxo,fashion,78753.0,588,389,Mid
2919,roberta.marta,fashion,78721.0,3598,430,Mid
2920,raffaele_pone,fashion,78713.0,2077,408,Mid
2921,andreafeczko,fashion,78695.0,2874,1242,Mid
2922,thehautebrunette,fashion,78636.0,3279,729,Mid
2923,your_daly_dose_,fashion,78628.0,2877,1286,Mid
2924,themariaantoinette,fashion,78578.0,1076,2659,Mid
2925,xoalyynicole,fashion,78521.0,610,579,Mid
2926,tommybrady7,fashion,78505.0,550,604,Mid
2927,lornaraindrops,fashion,78493.0,3205,5356,Mid
2928,bymarielle_,fashion,78422.0,357,635,Mid
2929,louisrubi,fashion,78412.0,758,1043,Mid
2930,justbrandi_,fashion,78394.0,675,1927,Mid
2931,tizianfendt,fashion,78382.0,979,495,Mid
2932,tarynerenee,fashion,78379.0,660,1960,Mid
